NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Barnum West,4786.0,3558.0,1093.0,14.0,78.0,0.0,0.0,43.0,0.0,74.34,22.84,0.29,1.63,0.0,0.0,0.9,0.0,2413.0,2373.0,299.0,388.0,408.0,271.0,687.0,762.0,761.0,574.0,711.0,528.0,337.0,260.0,166.0,1366.0,582.0,28.54,12.16,4547.0,1173.0,35.0,151.0,217.0,353.0,246.0,158.0,13.0,3374.0,1988.0,448.0,908.0,399.0,78.0,155.0,3014.0,1218.0,907.0,624.0,265.0,1788.0,1685.0,103.0,1276.0,409.0,1685.0,1010.0,586.0,424.0,151.0,273.0,675.0,553.0,122.0,73.0,143.0,85.0,239.0,107.0,49.0,108.0,164.0,137.0,100.0,209.0,96.0,94.0,59.0,22.0,0.0,17956.0,48260.0,51779.0,0.0,0.0,51.0,26.0,109.0,116.0,1111.0,211.0,164.0,3885.0,901.0,16.02,15.54,0.0565555023651,0.000196925985343
Villa Park,8811.0,7258.0,1423.0,55.0,67.0,8.0,0.0,0.0,0.0,82.37,16.15,0.62,0.76,0.09,0.0,0.0,0.0,4791.0,4020.0,885.0,860.0,689.0,445.0,1745.0,1338.0,1471.0,1478.0,1031.0,807.0,508.0,222.0,211.0,2879.0,630.0,32.68,7.15,8381.0,2135.0,194.0,129.0,555.0,491.0,558.0,192.0,16.0,6246.0,3620.0,569.0,1415.0,768.0,309.0,559.0,4926.0,2151.0,1446.0,891.0,438.0,3214.0,2877.0,337.0,1148.0,1729.0,2877.0,1814.0,856.0,958.0,196.0,762.0,1063.0,753.0,310.0,533.0,253.0,301.0,197.0,103.0,130.0,221.0,254.0,55.0,215.0,300.0,205.0,73.0,9.0,11.0,17.0,13237.0,38258.0,41607.0,134.0,119.0,20.0,268.0,512.0,376.0,724.0,460.0,601.0,6409.0,2402.0,32.5,29.49,0.0857703182245,0.000269066570201
West Colfax,9471.0,6542.0,2540.0,232.0,69.0,37.0,0.0,25.0,26.0,69.07,26.82,2.45,0.73,0.39,0.0,0.26,0.27,4201.0,5270.0,1127.0,636.0,638.0,315.0,1763.0,1182.0,2005.0,1360.0,1128.0,807.0,473.0,543.0,210.0,2716.0,935.0,28.68,9.87,8673.0,1952.0,111.0,136.0,475.0,479.0,451.0,284.0,16.0,6721.0,4221.0,750.0,1884.0,850.0,502.0,235.0,5776.0,1562.0,1976.0,1172.0,1066.0,4094.0,3777.0,317.0,1081.0,2696.0,3777.0,2045.0,1210.0,835.0,122.0,713.0,1732.0,1368.0,364.0,576.0,349.0,262.0,461.0,145.0,334.0,256.0,181.0,107.0,376.0,191.0,237.0,211.0,19.0,38.0,34.0,16912.0,40697.0,46862.0,40.0,91.0,60.0,29.0,666.0,990.0,912.0,555.0,751.0,7247.0,2224.0,25.45,19.95,0.0807973653986,0.00027317164667
West Highland,8078.0,1177.0,6499.0,34.0,60.0,96.0,59.0,0.0,153.0,14.57,80.45,0.42,0.74,1.19,0.73,0.0,1.89,3900.0,4178.0,454.0,304.0,265.0,159.0,758.0,470.0,1105.0,1953.0,1273.0,1146.0,503.0,474.0,396.0,1182.0,1068.0,14.63,13.22,7696.0,1257.0,60.0,46.0,262.0,213.0,202.0,189.0,285.0,6439.0,4847.0,877.0,2368.0,1080.0,290.0,232.0,6591.0,381.0,1153.0,1138.0,3919.0,4401.0,4078.0,323.0,2677.0,1401.0,4078.0,1881.0,1655.0,226.0,87.0,139.0,2197.0,1682.0,515.0,196.0,107.0,147.0,187.0,159.0,322.0,198.0,122.0,130.0,300.0,329.0,644.0,466.0,290.0,263.0,218.0,42797.0,83285.0,112480.0,87.0,461.0,87.0,74.0,77.0,119.0,491.0,460.0,2545.0,7737.0,341.0,6.65,2.71,0.0777009145078,0.000305627735829
Sloan Lake,6772.0,2050.0,4275.0,143.0,0.0,128.0,0.0,0.0,176.0,30.27,63.13,2.11,0.0,1.89,0.0,0.0,2.6,2903.0,3869.0,448.0,271.0,89.0,116.0,719.0,329.0,1421.0,1309.0,892.0,599.0,622.0,479.0,402.0,924.0,1134.0,13.64,16.75,6530.0,1085.0,98.0,67.0,171.0,89.0,151.0,282.0,227.0,5445.0,3612.0,1114.0,1462.0,640.0,238.0,158.0,5291.0,688.0,1020.0,1186.0,2397.0,3741.0,3449.0,292.0,2037.0,1412.0,3449.0,1490.0,1022.0,468.0,178.0,290.0,1959.0,1514.0,445.0,325.0,371.0,273.0,129.0,119.0,97.0,181.0,189.0,12.0,306.0,428.0,320.0,279.0,183.0,134.0,103.0,33478.0,63126.0,78634.0,97.0,84.0,152.0,135.0,320.0,205.0,731.0,676.0,1341.0,6244.0,528.0,13.25,11.54,0.0852269577603,0.000380878246967
Berkeley,7612.0,2079.0,5321.0,67.0,43.0,69.0,0.0,11.0,22.0,27.31,69.9,0.88,0.56,0.91,0.0,0.14,0.29,3865.0,3747.0,537.0,152.0,274.0,164.0,689.0,609.0,1134.0,1560.0,1295.0,1129.0,589.0,347.0,260.0,1127.0,874.0,14.81,11.48,7263.0,1433.0,166.0,11.0,80.0,218.0,258.0,392.0,308.0,5830.0,4032.0,788.0,1752.0,1010.0,215.0,267.0,5866.0,546.0,1249.0,1531.0,2540.0,4181.0,3727.0,454.0,2531.0,1196.0,3727.0,1716.0,1280.0,436.0,136.0,300.0,2011.0,1564.0,447.0,252.0,202.0,140.0,256.0,310.0,205.0,223.0,78.0,193.0,312.0,305.0,441.0,260.0,272.0,215.0,63.0,32210.0,64435.0,84267.0,42.0,80.0,64.0,99.0,102.0,173.0,538.0,431.0,2652.0,7178.0,434.0,8.38,4.14,0.0861583016837,0.000407890325566
Regis,4073.0,1610.0,2029.0,53.0,17.0,274.0,0.0,18.0,72.0,39.53,49.82,1.3,0.42,6.73,0.0,0.44,1.77,2062.0,2011.0,183.0,243.0,190.0,130.0,426.0,801.0,488.0,603.0,541.0,577.0,297.0,182.0,158.0,746.0,419.0,18.32,10.29,3956.0,1213.0,41.0,18.0,198.0,167.0,168.0,581.0,40.0,2743.0,1859.0,595.0,684.0,375.0,127.0,78.0,2516.0,357.0,792.0,709.0,658.0,1637.0,1500.0,137.0,1037.0,463.0,1500.0,896.0,586.0,310.0,87.0,223.0,604.0,492.0,112.0,145.0,53.0,77.0,119.0,75.0,13.0,153.0,128.0,23.0,101.0,298.0,115.0,122.0,34.0,11.0,33.0,20939.0,54792.0,65229.0,0.0,10.0,67.0,112.0,81.0,163.0,432.0,108.0,664.0,3632.0,441.0,26.28,16.74,0.0968933689133,0.000277221197604
Hampden,16887.0,1835.0,12409.0,1331.0,118.0,636.0,95.0,11.0,452.0,10.87,73.48,7.88,0.7,3.77,0.56,0.07,2.68,8588.0,8299.0,774.0,791.0,564.0,341.0,1565.0,1297.0,2378.0,3103.0,2023.0,2435.0,1858.0,1311.0,917.0,2470.0,3076.0,14.63,18.22,16400.0,2974.0,103.0,208.0,622.0,420.0,470.0,947.0,204.0,13426.0,9283.0,1692.0,4616.0,1590.0,1119.0,266.0,13163.0,734.0,2603.0,3604.0,6222.0,9919.0,8994.0,925.0,4606.0,4388.0,8994.0,3696.0,3005.0,691.0,206.0,485.0,5298.0,4404.0,894.0,643.0,651.0,766.0,588.0,539.0,528.0,496.0,607.0,404.0,572.0,686.0,904.0,519.0,382.0,417.0,292.0,33905.0,62878.0,85074.0,11.0,112.0,246.0,1862.0,4793.0,2604.0,186.0,26.0,79.0,14325.0,2562.0,13.62,11.44,0.200466185631,0.000767693506243
Baker,5106.0,2601.0,2311.0,56.0,0.0,20.0,12.0,9.0,97.0,50.94,45.26,1.1,0.0,0.39,0.24,0.18,1.9,2695.0,2411.0,487.0,241.0,78.0,142.0,728.0,356.0,1357.0,1154.0,479.0,544.0,272.0,132.0,84.0,948.0,302.0,18.57,5.91,4777.0,1182.0,65.0,37.0,198.0,84.0,82.0,526.0,190.0,3595.0,2610.0,637.0,1187.0,586.0,154.0,46.0,3574.0,893.0,375.0,698.0,1608.0,2612.0,2206.0,406.0,1105.0,1101.0,2206.0,856.0,467.0,389.0,83.0,306.0,1350.0,959.0,391.0,209.0,125.0,136.0,110.0,111.0,50.0,87.0,105.0,237.0,205.0,237.0,185.0,166.0,179.0,30.0,34.0,26779.0,59881.0,62212.0,29.0,44.0,0.0,162.0,105.0,209.0,180.0,88.0,1795.0,4308.0,798.0,30.89,23.71,0.101766999466,0.000405791072382
Auraria,128.0,75.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,58.59,35.16,6.25,0.0,0.0,0.0,0.0,0.0,17.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,19.0,16.0,0.0,8.0,0.0,0.0,8.0,0.0,6.25,128.0,26.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,102.0,44.0,0.0,44.0,0.0,0.0,0.0,128.0,0.0,0.0,54.0,74.0,35.0,35.0,0.0,17.0,18.0,35.0,17.0,17.0,0.0,0.0,0.0,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,8.0,10.0,0.0,0.0,29770.0,100857.0,,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,19.0,32.0,96.0,19.53,0.0,0.0556619102916,0.000175680301494
Cory - Merrill,3971.0,200.0,3602.0,43.0,0.0,54.0,0.0,16.0,56.0,5.04,90.71,1.08,0.0,1.36,0.0,0.4,1.41,2084.0,1887.0,366.0,274.0,96.0,0.0,640.0,151.0,664.0,595.0,773.0,448.0,296.0,255.0,149.0,736.0,483.0,18.53,12.16,3719.0,1056.0,116.0,117.0,142.0,96.0,14.0,206.0,365.0,2663.0,1825.0,504.0,987.0,243.0,25.0,66.0,3012.0,129.0,229.0,423.0,2231.0,1787.0,1636.0,151.0,1285.0,351.0,1636.0,939.0,720.0,219.0,48.0,171.0,697.0,539.0,158.0,56.0,52.0,75.0,22.0,31.0,41.0,11.0,32.0,49.0,180.0,162.0,270.0,60.0,173.0,78.0,344.0,53477.0,126414.0,152662.0,139.0,126.0,16.0,212.0,59.0,57.0,399.0,597.0,182.0,3713.0,258.0,9.08,5.22,0.063099354523,0.000228186761398
Belcaro,4189.0,158.0,3798.0,0.0,19.0,139.0,0.0,0.0,75.0,3.77,90.67,0.0,0.45,3.32,0.0,0.0,1.79,2018.0,2171.0,214.0,390.0,132.0,33.0,604.0,188.0,255.0,403.0,609.0,729.0,554.0,457.0,390.0,769.0,1091.0,18.36,26.04,4035.0,823.0,96.0,61.0,296.0,113.0,56.0,104.0,97.0,3212.0,1637.0,478.0,728.0,330.0,58.0,43.0,3341.0,30.0,236.0,401.0,2674.0,2234.0,1947.0,287.0,1750.0,197.0,1947.0,1118.0,962.0,156.0,62.0,94.0,829.0,723.0,106.0,61.0,0.0,14.0,37.0,22.0,30.0,46.0,31.0,23.0,51.0,153.0,209.0,185.0,180.0,264.0,641.0,85531.0,182902.0,220103.0,111.0,229.0,247.0,141.0,79.0,371.0,409.0,406.0,241.0,3801.0,388.0,2.08,0.0,0.077481300472,0.000316915344177
Washington Park,6693.0,281.0,6278.0,15.0,0.0,98.0,0.0,7.0,14.0,4.2,93.8,0.22,0.0,1.46,0.0,0.1,0.21,3411.0,3282.0,505.0,406.0,171.0,155.0,911.0,421.0,1001.0,1016.0,959.0,1091.0,730.0,335.0,229.0,1237.0,795.0,18.48,11.88,6416.0,1256.0,176.0,149.0,254.0,132.0,207.0,149.0,189.0,5160.0,3277.0,1205.0,1450.0,498.0,92.0,32.0,4804.0,50.0,312.0,736.0,3706.0,3439.0,3177.0,262.0,2525.0,652.0,3177.0,1703.0,1432.0,271.0,138.0,133.0,1474.0,1243.0,231.0,74.0,41.0,37.0,163.0,102.0,117.0,108.0,75.0,71.0,191.0,318.0,403.0,303.0,207.0,313.0,654.0,73641.0,153241.0,186163.0,115.0,152.0,101.0,12.0,436.0,108.0,271.0,180.0,2064.0,6567.0,126.0,1.94,0.35,0.0904448768718,0.000410873628424
Washington Park West,6440.0,511.0,5597.0,67.0,0.0,119.0,0.0,0.0,146.0,7.93,86.91,1.04,0.0,1.85,0.0,0.0,2.27,3360.0,3080.0,491.0,183.0,92.0,45.0,674.0,159.0,1208.0,1715.0,911.0,1003.0,424.0,207.0,139.0,811.0,403.0,12.59,6.26,6135.0,827.0,115.0,73.0,88.0,92.0,45.0,254.0,160.0,5308.0,3675.0,892.0,1827.0,662.0,143.0,151.0,5255.0,417.0,694.0,1093.0,3051.0,3508.0,3295.0,213.0,1940.0,1355.0,3295.0,1457.0,1150.0,307.0,145.0,162.0,1838.0,1446.0,392.0,211.0,210.0,81.0,124.0,101.0,121.0,91.0,147.0,107.0,236.0,259.0,481.0,324.0,309.0,155.0,338.0,47042.0,90326.0,127093.0,111.0,67.0,17.0,79.0,126.0,158.0,140.0,103.0,2707.0,6126.0,314.0,11.97,3.5,0.0664119265543,0.000237357733887
Speer,10579.0,1369.0,8583.0,158.0,33.0,164.0,0.0,23.0,249.0,12.94,81.13,1.49,0.31,1.55,0.0,0.22,2.35,5191.0,5388.0,366.0,235.0,122.0,32.0,601.0,171.0,3634.0,2388.0,1287.0,1053.0,794.0,245.0,406.0,755.0,888.0,7.14,8.39,10360.0,2100.0,124.0,84.0,182.0,47.0,38.0,821.0,804.0,8260.0,7145.0,2014.0,3421.0,1088.0,257.0,365.0,9134.0,504.0,1064.0,1966.0,5600.0,7705.0,6845.0,860.0,2129.0,4716.0,6845.0,1418.0,1077.0,341.0,128.0,213.0,5427.0,4320.0,1107.0,588.0,307.0,465.0,446.0,461.0,385.0,325.0,355.0,418.0,493.0,653.0,767.0,463.0,252.0,276.0,191.0,41264.0,62655.0,91460.0,96.0,66.0,297.0,717.0,1165.0,1357.0,941.0,291.0,2775.0,9638.0,941.0,10.68,5.78,0.0613009917012,0.000232339565901
Cherry Creek,4744.0,157.0,4269.0,77.0,0.0,120.0,0.0,0.0,121.0,3.31,89.99,1.62,0.0,2.53,0.0,0.0,2.55,2215.0,2529.0,97.0,44.0,73.0,84.0,141.0,240.0,671.0,402.0,590.0,1184.0,770.0,288.0,458.0,298.0,1066.0,6.28,22.47,4668.0,462.0,21.0,13.0,31.0,45.0,112.0,147.0,93.0,4206.0,2193.0,940.0,862.0,313.0,31.0,47.0,4155.0,62.0,262.0,627.0,3204.0,3824.0,3102.0,722.0,1501.0,1601.0,3102.0,1043.0,830.0,213.0,46.0,167.0,2059.0,1865.0,194.0,417.0,178.0,108.0,203.0,88.0,138.0,44.0,91.0,71.0,154.0,211.0,225.0,226.0,110.0,154.0,684.0,86000.0,130417.0,216244.0,305.0,633.0,873.0,584.0,675.0,98.0,242.0,171.0,243.0,3925.0,819.0,15.39,10.55,0.0639229725238,0.000227659616375
Cheesman Park,7730.0,968.0,6020.0,256.0,68.0,247.0,0.0,0.0,171.0,12.52,77.88,3.31,0.88,3.2,0.0,0.0,2.21,4364.0,3366.0,289.0,113.0,65.0,128.0,402.0,317.0,1559.0,1886.0,1033.0,1052.0,932.0,346.0,203.0,595.0,990.0,7.7,12.81,7537.0,1174.0,96.0,0.0,113.0,65.0,111.0,482.0,307.0,6363.0,4750.0,1544.0,1918.0,824.0,255.0,209.0,6401.0,274.0,760.0,1622.0,3745.0,5939.0,5182.0,757.0,1610.0,3572.0,5182.0,1011.0,771.0,240.0,131.0,109.0,4171.0,3447.0,724.0,601.0,337.0,147.0,420.0,194.0,458.0,152.0,311.0,400.0,410.0,372.0,404.0,282.0,132.0,180.0,382.0,49694.0,73527.0,112655.0,45.0,57.0,44.0,309.0,1195.0,1434.0,476.0,232.0,2147.0,7394.0,336.0,13.07,7.42,0.0478888198421,0.000143319673705
Hilltop,8244.0,338.0,7374.0,173.0,10.0,267.0,24.0,0.0,58.0,4.1,89.45,2.1,0.12,3.24,0.29,0.0,0.7,3824.0,4420.0,657.0,673.0,687.0,144.0,1330.0,918.0,455.0,926.0,1375.0,1200.0,1073.0,499.0,468.0,2161.0,1372.0,26.21,16.64,7748.0,2133.0,218.0,133.0,588.0,517.0,252.0,282.0,143.0,5615.0,3341.0,995.0,1692.0,465.0,63.0,126.0,5867.0,82.0,460.0,642.0,4683.0,3790.0,3604.0,186.0,2709.0,895.0,3604.0,2322.0,1939.0,383.0,102.0,281.0,1282.0,1153.0,129.0,124.0,79.0,24.0,38.0,36.0,138.0,248.0,142.0,117.0,200.0,218.0,509.0,370.0,304.0,279.0,778.0,67947.0,154065.0,199214.0,132.0,437.0,180.0,106.0,276.0,424.0,1242.0,393.0,600.0,7395.0,849.0,3.99,1.85,0.112243841742,0.000468838708856
Montclair,5340.0,477.0,4218.0,383.0,0.0,91.0,0.0,0.0,171.0,8.93,78.99,7.17,0.0,1.7,0.0,0.0,3.2,2489.0,2851.0,369.0,260.0,171.0,138.0,629.0,441.0,573.0,1173.0,1024.0,679.0,426.0,186.0,209.0,938.0,492.0,17.57,9.21,5104.0,1261.0,125.0,18.0,241.0,154.0,156.0,435.0,132.0,3843.0,3208.0,650.0,1810.0,501.0,125.0,122.0,4080.0,31.0,517.0,1186.0,2346.0,2783.0,2696.0,87.0,2054.0,642.0,2696.0,1251.0,978.0,273.0,38.0,235.0,1445.0,1033.0,412.0,115.0,48.0,75.0,150.0,122.0,98.0,102.0,72.0,58.0,273.0,209.0,429.0,366.0,168.0,218.0,193.0,47669.0,93621.0,124760.0,109.0,29.0,58.0,84.0,104.0,93.0,682.0,1176.0,448.0,4900.0,440.0,7.28,0.96,0.0677627908059,0.000275503180967
Hale,6684.0,351.0,4969.0,500.0,15.0,516.0,0.0,0.0,333.0,5.25,74.34,7.48,0.22,7.72,0.0,0.0,4.98,3438.0,3246.0,455.0,205.0,167.0,135.0,660.0,308.0,1398.0,1652.0,727.0,966.0,665.0,142.0,166.0,962.0,516.0,14.39,7.72,6394.0,1680.0,159.0,31.0,119.0,131.0,158.0,580.0,502.0,4714.0,3925.0,1024.0,1724.0,812.0,202.0,163.0,5058.0,113.0,656.0,1069.0,3220.0,4362.0,3825.0,537.0,1762.0,2063.0,3825.0,1336.0,907.0,429.0,106.0,323.0,2489.0,2071.0,418.0,473.0,233.0,171.0,330.0,181.0,210.0,212.0,142.0,123.0,185.0,317.0,313.0,299.0,152.0,243.0,241.0,44441.0,76758.0,125759.0,56.0,79.0,72.0,87.0,277.0,665.0,1146.0,840.0,1140.0,6117.0,567.0,14.6,3.82,0.0657645422778,0.000264801770907
North Park Hill,9332.0,1285.0,3753.0,3735.0,13.0,172.0,0.0,49.0,325.0,13.77,40.22,40.02,0.14,1.84,0.0,0.53,3.48,4203.0,5129.0,714.0,438.0,557.0,507.0,1152.0,1149.0,1053.0,1682.0,1293.0,1032.0,931.0,565.0,475.0,2216.0,1447.0,23.75,15.51,8844.0,2341.0,148.0,77.0,266.0,447.0,616.0,576.0,211.0,6503.0,4103.0,824.0,1939.0,860.0,338.0,142.0,6565.0,588.0,1394.0,1594.0,2989.0,4125.0,3906.0,219.0,3207.0,699.0,3906.0,2452.0,1505.0,947.0,345.0,602.0,1454.0,1269.0,185.0,354.0,169.0,229.0,78.0,116.0,248.0,237.0,220.0,139.0,235.0,407.0,472.0,286.0,166.0,196.0,354.0,36495.0,85905.0,105353.0,39.0,63.0,9.0,25.0,102.0,313.0,899.0,1282.0,1393.0,8626.0,706.0,13.42,7.75,0.0962330793206,0.000406786602971
South Park Hill,8253.0,788.0,6071.0,790.0,15.0,226.0,0.0,24.0,339.0,9.55,73.56,9.57,0.18,2.74,0.0,0.29,4.11,4150.0,4103.0,886.0,596.0,315.0,275.0,1482.0,745.0,717.0,1292.0,1077.0,1496.0,889.0,336.0,219.0,2072.0,831.0,25.11,10.07,7837.0,2034.0,376.0,80.0,395.0,255.0,405.0,399.0,124.0,5803.0,3618.0,927.0,1758.0,628.0,134.0,171.0,5681.0,264.0,472.0,851.0,4094.0,3613.0,3389.0,224.0,2711.0,678.0,3389.0,2156.0,1824.0,332.0,69.0,263.0,1233.0,895.0,338.0,250.0,99.0,82.0,91.0,78.0,96.0,45.0,126.0,117.0,155.0,359.0,341.0,263.0,242.0,439.0,606.0,60789.0,146057.0,180240.0,71.0,73.0,21.0,45.0,25.0,18.0,499.0,532.0,2329.0,7785.0,468.0,7.74,6.96,0.0961846035402,0.000405664445082
University Park,7667.0,324.0,6260.0,72.0,105.0,637.0,0.0,51.0,218.0,4.23,81.65,0.94,1.37,8.31,0.0,0.67,2.84,3630.0,4037.0,274.0,463.0,292.0,168.0,737.0,605.0,2679.0,806.0,845.0,844.0,440.0,248.0,463.0,1197.0,856.0,15.61,11.16,7497.0,3427.0,160.0,48.0,390.0,219.0,285.0,1606.0,719.0,4070.0,3525.0,988.0,1621.0,668.0,160.0,88.0,4522.0,128.0,543.0,986.0,2865.0,3657.0,3361.0,296.0,1500.0,1861.0,3361.0,1335.0,1149.0,186.0,86.0,100.0,2026.0,1423.0,603.0,481.0,126.0,136.0,287.0,172.0,190.0,148.0,167.0,51.0,172.0,169.0,302.0,175.0,201.0,192.0,392.0,49147.0,109466.0,194979.0,260.0,214.0,222.0,303.0,306.0,670.0,864.0,386.0,432.0,7023.0,644.0,21.54,4.12,0.0703891815617,0.000316092670237
Platt Park,5136.0,350.0,4534.0,0.0,106.0,111.0,0.0,0.0,35.0,6.81,88.28,0.0,2.06,2.16,0.0,0.0,0.68,2545.0,2591.0,220.0,220.0,138.0,30.0,440.0,218.0,1109.0,1433.0,783.0,565.0,407.0,113.0,68.0,608.0,312.0,11.84,6.07,4977.0,983.0,41.0,34.0,208.0,116.0,30.0,333.0,221.0,3994.0,3244.0,664.0,1761.0,614.0,29.0,176.0,4208.0,161.0,442.0,952.0,2653.0,2813.0,2610.0,203.0,1644.0,966.0,2610.0,1044.0,885.0,159.0,0.0,159.0,1566.0,997.0,569.0,143.0,62.0,109.0,45.0,172.0,154.0,74.0,89.0,136.0,216.0,274.0,224.0,263.0,223.0,214.0,212.0,48018.0,92550.0,110109.0,193.0,86.0,0.0,59.0,86.0,156.0,266.0,171.0,1796.0,4921.0,215.0,7.87,5.84,0.0599688827993,0.000222544544117
College View / South Platte,6086.0,4028.0,1459.0,150.0,0.0,285.0,0.0,97.0,67.0,66.18,23.97,2.46,0.0,4.68,0.0,1.59,1.1,3165.0,2921.0,558.0,476.0,443.0,281.0,1034.0,969.0,1079.0,923.0,814.0,659.0,401.0,134.0,73.0,1758.0,341.0,28.89,5.6,5710.0,1419.0,20.0,124.0,314.0,386.0,336.0,185.0,54.0,4291.0,2598.0,357.0,1143.0,618.0,127.0,353.0,3494.0,1452.0,947.0,805.0,290.0,2303.0,2002.0,301.0,978.0,1024.0,2002.0,1362.0,834.0,528.0,154.0,374.0,640.0,463.0,177.0,286.0,344.0,237.0,60.0,107.0,115.0,28.0,102.0,106.0,135.0,146.0,246.0,57.0,16.0,0.0,17.0,13762.0,39654.0,42617.0,0.0,90.0,196.0,235.0,793.0,414.0,258.0,176.0,141.0,4080.0,2006.0,33.85,29.22,0.142853096892,0.000395951603855
Overland,1919.0,702.0,1156.0,16.0,0.0,16.0,0.0,0.0,29.0,36.58,60.24,0.83,0.0,0.83,0.0,0.0,1.51,1189.0,730.0,130.0,143.0,84.0,82.0,273.0,187.0,272.0,399.0,218.0,322.0,166.0,49.0,33.0,439.0,166.0,22.88,8.65,1847.0,324.0,29.0,61.0,67.0,43.0,63.0,21.0,40.0,1523.0,832.0,374.0,310.0,100.0,28.0,20.0,1401.0,243.0,490.0,393.0,275.0,1076.0,930.0,146.0,384.0,546.0,930.0,420.0,269.0,151.0,60.0,91.0,510.0,467.0,43.0,103.0,24.0,44.0,38.0,98.0,24.0,149.0,47.0,58.0,170.0,50.0,71.0,25.0,0.0,0.0,29.0,23786.0,48235.0,62594.0,84.0,0.0,0.0,0.0,55.0,23.0,332.0,155.0,427.0,1711.0,208.0,24.34,20.71,0.0822778813535,0.000305341897159
Ruby Hill,9121.0,6189.0,2098.0,174.0,56.0,397.0,0.0,11.0,196.0,67.85,23.0,1.91,0.61,4.35,0.0,0.12,2.15,4600.0,4521.0,915.0,767.0,760.0,366.0,1682.0,1393.0,1129.0,1537.0,957.0,790.0,685.0,635.0,313.0,2808.0,1189.0,30.79,13.04,8481.0,2318.0,125.0,209.0,580.0,665.0,557.0,137.0,45.0,6163.0,3511.0,764.0,1338.0,901.0,309.0,199.0,5469.0,2170.0,1802.0,1135.0,362.0,3568.0,3308.0,260.0,1737.0,1571.0,3308.0,2004.0,1144.0,860.0,319.0,541.0,1304.0,1163.0,141.0,619.0,313.0,233.0,244.0,135.0,223.0,239.0,249.0,89.0,205.0,329.0,292.0,78.0,51.0,0.0,9.0,15167.0,40707.0,44666.0,0.0,47.0,34.0,239.0,262.0,610.0,2095.0,177.0,104.0,6463.0,2658.0,26.24,15.62,0.0892425796827,0.000394848724818
